date,price
6/28/2014,568.1889095
6/29/2014,581.2371766
6/30/2014,588.4430883
7/1/2014,591.2702315
7/2/2014,594.6897941
7/3/2014,598.7243622
7/4/2014,597.5163296
7/5/2014,602.2797926
7/6/2014,618.2511891
7/7/2014,614.4698586
7/8/2014,599.0662492
7/9/2014,606.4728269
7/10/2014,597.5619166
7/11/2014,600.4337574
7/12/2014,601.6644604
7/13/2014,597.9266104
7/14/2014,588.2150809
7/15/2014,589.0814997
7/16/2014,591.5438113
7/17/2014,579.5494535
7/18/2014,569.1928377
7/19/2014,579.2757593
7/20/2014,575.3525176
7/21/2014,581.5564643
7/22/2014,591.0878435
7/23/2014,597.6075036
7/24/2014,593.1624392
7/25/2014,585.8893015
7/26/2014,591.8629845
7/27/2014,589.4918995
7/28/2014,574.3944339
7/29/2014,578.3178086
7/30/2014,573.8013182
7/31/2014,588.0326736
8/1/2014,579.1845273
8/2/2014,578.363426
8/3/2014,583.2440684
8/4/2014,592.5013204
8/5/2014,586.3909561
8/6/2014,584.521108
8/7/2014,588.8990979
8/8/2014,591.361425
8/9/2014,590.2214848
8/10/2014,587.7134581
8/11/2014,589.9022935
8/12/2014,587.1206199
8/13/2014,580.6442042
8/14/2014,593.641171
8/15/2014,590.4950746
8/16/2014,598.2912996
8/17/2014,603.0774264
8/18/2014,605.8575818
8/19/2014,616.6567099
8/20/2014,607.1336315
8/21/2014,598.3824712
8/22/2014,582.4686951
8/23/2014,599.7955948
8/24/2014,598.6559843
8/25/2014,585.4332442
8/26/2014,581.8301366
8/27/2014,582.9704096
8/28/2014,593.7323571
8/29/2014,587.8046629
8/30/2014,585.7296822
8/31/2014,586.3909561
9/1/2014,599.7955948
9/2/2014,598.9750797
9/3/2014,605.4474114
9/4/2014,604.9005086
9/5/2014,604.8549329
9/6/2014,610.9158861
9/7/2014,616.1555704
9/8/2014,602.8495332
9/9/2014,613.90034
9/10/2014,612.6929249
9/11/2014,605.8575818
9/12/2014,607.0197007
9/13/2014,604.3991722
9/14/2014,605.128386
9/15/2014,601.6644604
9/16/2014,598.4280569
9/17/2014,594.5530194
9/18/2014,592.8204831
9/19/2014,599.4765083
9/20/2014,598.1545417
9/21/2014,591.6806003
9/22/2014,590.5406726
9/23/2014,593.641171
9/24/2014,592.2733449
9/25/2014,594.9177507
9/26/2014,589.0814997
9/27/2014,593.6867641
9/28/2014,591.0422463
9/29/2014,595.9663279
9/30/2014,593.1852361
10/1/2014,589.7654962
10/2/2014,579.6406844
10/3/2014,583.7229649
10/4/2014,589.0814997
10/5/2014,588.3518856
10/6/2014,586.3453515
10/7/2014,584.9315729
10/8/2014,570.6986623
10/9/2014,559.2888646
10/10/2014,573.9381921
10/11/2014,584.7947519
10/12/2014,584.5667155
10/13/2014,590.084689
10/14/2014,597.7898507
10/15/2014,602.8495332
10/16/2014,614.0142446
10/17/2014,607.9994911
10/18/2014,582.787969
10/19/2014,582.5143059
10/20/2014,579.503838
10/21/2014,571.6112438
10/22/2014,574.3944339
10/23/2014,572.6150491
10/24/2014,569.786051
10/25/2014,564.9030728
10/26/2014,551.8471233
10/27/2014,534.490273
10/28/2014,537.9625516
10/29/2014,536.7290315
10/30/2014,538.5107643
10/31/2014,557.691116
11/1/2014,529.2352907
11/2/2014,537.2315837
11/3/2014,536.8204054
11/4/2014,540.5207799
11/5/2014,546.0018673
11/6/2014,542.9874089
11/7/2014,536.1807818
11/8/2014,525.3961963
11/9/2014,493.8844647
11/10/2014,481.7995594
11/11/2014,484.6382313
11/12/2014,511.8633657
11/13/2014,526.6302532
11/14/2014,528.3212723
11/15/2014,525.8989674
11/16/2014,502.8526811
11/17/2014,523.9792433
